,type,sms,processedSMS,filteredSMS
0,0,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,"['hmmm', 'guess', 'go', '4', 'kb', 'n', 'power', 'yoga', 'haha', 'dunno', 'tahan', 'power', 'yoga', 'anot', 'thk', 'got', 'lo', 'oso', 'forgot', 'liao']"
1,0,What type of stuff do you sing?,type stuff sing,"['type', 'stuff', 'sing']"
2,0,Surely result will offer:),sure result offer,"['sure', 'result', 'offer']"
3,0,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",babe fuck love know fuck good hear voic need crave get enough ador ahmad kiss,"['babe', 'fuck', 'love', 'know', 'fuck', 'good', 'hear', 'voic', 'need', 'crave', 'get', 'enough', 'ador', 'ahmad', 'kiss']"
4,0,I'm at home n ready...,home n readi,"['home', 'n', 'readi']"
5,0,I'm in office now da:)where are you?,offic da,"['offic', 'da']"
6,0,Ok. But i finish at 6.,ok finish 6,"['ok', 'finish', '6']"
7,0,Went to ganesh dress shop,went ganesh dress shop,"['went', 'ganesh', 'dress', 'shop']"
8,0,Do well :)all will for little time. Thing of good times ahead:,well littl time thing good time ahead,"['well', 'littl', 'time', 'thing', 'good', 'time', 'ahead']"
9,0,"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*",buzz hey love think hope day goe well sleep miss babe long moment togeth love smile,"['buzz', 'hey', 'love', 'think', 'hope', 'day', 'goe', 'well', 'sleep', 'miss', 'babe', 'long', 'moment', 'togeth', 'love', 'smile']"
10,0,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",8 latest g still scroung ammo want give new ak tri,"['8', 'latest', 'g', 'still', 'scroung', 'ammo', 'want', 'give', 'new', 'ak', 'tri']"
11,0,Maybe you should find something else to do instead???,mayb find someth els instead,"['mayb', 'find', 'someth', 'els', 'instead']"
12,0,Yup...,yup,['yup']
13,0,"Aight, text me tonight and we'll see what's up",aight text tonight see,"['aight', 'text', 'tonight', 'see']"
14,0,Just wait till end of march when el nino gets himself. Oh.,wait till end march el nino get oh,"['wait', 'till', 'end', 'march', 'el', 'nino', 'get', 'oh']"
15,0,Sleeping nt feeling well,sleep nt feel well,"['sleep', 'nt', 'feel', 'well']"
16,0,Eatin my lunch...,eatin lunch,"['eatin', 'lunch']"
17,0,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",met stranger choos friend long world stand friendship never end let friend forev gud nitz,"['met', 'stranger', 'choos', 'friend', 'long', 'world', 'stand', 'friendship', 'never', 'end', 'let', 'friend', 'forev', 'gud', 'nitz']"
18,0,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",open rebtel firefox load put plu sign user name place show two number lower number number pick number pin display okay,"['open', 'rebtel', 'firefox', 'load', 'put', 'plu', 'sign', 'user', 'name', 'place', 'show', 'two', 'number', 'lower', 'number', 'number', 'pick', 'number', 'pin', 'display', 'okay']"
19,0,Are you there in room.,room,['room']
20,0,&lt;#&gt;  w jetton ave if you forgot,lt gt w jetton ave forgot,"['lt', 'gt', 'w', 'jetton', 'ave', 'forgot']"
21,0,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta.",hello sort town alreadi dont rush home eat nacho let know eta,"['hello', 'sort', 'town', 'alreadi', 'dont', 'rush', 'home', 'eat', 'nacho', 'let', 'know', 'eta']"
22,0,O. Well uv causes mutations. Sunscreen is like essential thesedays,well uv caus mutat sunscreen like essenti theseday,"['well', 'uv', 'caus', 'mutat', 'sunscreen', 'like', 'essenti', 'theseday']"
23,0,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,ye pleas leav lt gt lt gt leav,"['ye', 'pleas', 'leav', 'lt', 'gt', 'lt', 'gt', 'leav']"
24,0,Yeah jay's sort of a fucking retard,yeah jay sort fuck retard,"['yeah', 'jay', 'sort', 'fuck', 'retard']"
