,Experiment Name,Feature_List,Model,Epochs,Hyperparameters,Training Accuracy,Testing Accuracy,Training PR-AUC,Testing PR-AUC,Training Precision,Testing Precision,Training Recall,Testing Recall
0,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,LogisticRegression,[411],solver=lbfgs max_iter=600,0.869209809,0.85326087,0.911198707,0.9167564,0.871046229,0.9,0.89276808,0.841121495
1,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,LogisticRegression,[31],solver=newton-cg max_iter=600,0.871934605,0.85326087,0.912642312,0.9167564,0.871670702,0.9,0.897755611,0.841121495
2,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,LogisticRegression,[12],solver=liblinear max_iter=600,0.869209809,0.85326087,0.911198707,0.9167564,0.871046229,0.9,0.89276808,0.841121495
3,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,LogisticRegression,[3585],solver=sag max_iter=600,0.867847411,0.842391304,0.909816156,0.91182498,0.867149758,0.897959184,0.895261845,0.822429907
4,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,LogisticRegression,[4600],solver=sag max_iter=600,0.867847411,0.836956522,0.910141612,0.90934349,0.868932039,0.896907216,0.89276808,0.813084112
5,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,LogisticRegression,[31],"solver=newton-cg, penalty=l2 max_iter=600",0.871934605,0.85326087,0.912642312,0.9167564,0.871670702,0.9,0.897755611,0.841121495
6,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,LogisticRegression,[30],"solver=newton-cg, penalty=none max_iter=600",0.871934605,0.85326087,0.912642312,0.9167564,0.871670702,0.9,0.897755611,0.841121495
7,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,LogisticRegression,[411],"solver=lbfgs, penalty=l2, max_iter=600",0.869209809,0.85326087,0.911198707,0.9167564,0.871046229,0.9,0.89276808,0.841121495
8,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,LogisticRegression,[341],"solver=lbfgs, penalty=none, max_iter=600",0.869209809,0.85326087,0.911198707,0.9167564,0.871046229,0.9,0.89276808,0.841121495
9,Experiment-1-Numerical-OneHot,Age;RestingBP;Cholesterol;FastingBS;MaxHR;Oldpeak;Sex-OneHot-M;Sex-OneHot-F;ChestPainType-OneHot-NAP;ChestPainType-OneHot-ASY;ChestPainType-OneHot-TA;ChestPainType-OneHot-ATA;RestingECG-OneHot-Normal;RestingECG-OneHot-LVH;RestingECG-OneHot-ST;ExerciseAngina-OneHot-N;ExerciseAngina-OneHot-Y;ST_Slope-OneHot-Down;ST_Slope-OneHot-Up;ST_Slope-OneHot-Flat,LogisticRegression,[411],"solver=lbfgs, penalty=l2, tol=1e-10, max_iter=600",0.869209809,0.85326087,0.911198707,0.9167564,0.871046229,0.9,0.89276808,0.841121495
